"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","New York","Both","All Ages","1999","2017","Violence-Related Firearm","2001","1045","19082838","5.48","5.4194927616839"
"Both Sexes","All Races","North Carolina","Both","All Ages","1999","2017","Violence-Related Firearm","2001","1056","8210122","12.86","12.608593752197"
"Both Sexes","All Races","North Dakota","Both","All Ages","1999","2017","Violence-Related Firearm","2001","46","639062","7.2","7.42327059223655"
"Both Sexes","All Races","Ohio","Both","All Ages","1999","2017","Violence-Related Firearm","2001","995","11387404","8.74","8.70472107983011"
"Both Sexes","All Races","Oklahoma","Both","All Ages","1999","2017","Violence-Related Firearm","2001","473","3467100","13.64","13.5443516199204"
"Both Sexes","All Races","Oregon","Both","All Ages","1999","2017","Violence-Related Firearm","2001","339","3467937","9.78","9.61521404222292"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","1999","2017","Violence-Related Firearm","2001","1136","12298970","9.24","9.2278749987619"
"Both Sexes","All Races","Rhode Island","Both","All Ages","1999","2017","Violence-Related Firearm","2001","45","1057142","4.26","4.20186760387199"
"Both Sexes","All Races","South Carolina","Both","All Ages","1999","2017","Violence-Related Firearm","2001","543","4064995","13.36","13.212230373236"
"Both Sexes","All Races","South Dakota","Both","All Ages","1999","2017","Violence-Related Firearm","2001","50","757972","6.6","6.52569563387812"
"Both Sexes","All Races","Tennessee","Both","All Ages","1999","2017","Violence-Related Firearm","2001","790","5750789","13.74","13.5126191591349"
"Both Sexes","All Races","Texas","Both","All Ages","1999","2017","Violence-Related Firearm","2001","2279","21319622","10.69","10.8910968136122"
"Both Sexes","All Races","Utah","Both","All Ages","1999","2017","Violence-Related Firearm","2001","225","2283715","9.85","10.8060383965934"
"Both Sexes","All Races","Vermont","Both","All Ages","1999","2017","Violence-Related Firearm","2001","51","612223","8.33","8.20411969524288"
"Both Sexes","All Races","Virginia","Both","All Ages","1999","2017","Violence-Related Firearm","2001","752","7198362","10.45","10.3524200082846"
"Both Sexes","All Races","Washington","Both","All Ages","1999","2017","Violence-Related Firearm","2001","503","5985722","8.4","8.41732548006904"
"Both Sexes","All Races","West Virginia","Both","All Ages","1999","2017","Violence-Related Firearm","2001","236","1801481","13.1","12.3398185122173"
"Both Sexes","All Races","Wisconsin","Both","All Ages","1999","2017","Violence-Related Firearm","2001","456","5406835","8.43","8.35052066981041"
"Both Sexes","All Races","Wyoming","Both","All Ages","1999","2017","Violence-Related Firearm","2001","70","494657","14.15","13.906580267342"
"Both Sexes","All Races","","Both","All Ages","1999","2017","Violence-Related Firearm","2001","28540","284968955","10.02","."
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Violence-Related Firearm","2002","673","4480089","15.02","14.9478838723722"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Violence-Related Firearm","2002","120","642337","18.68","18.9163327652491"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Violence-Related Firearm","2002","929","5396255","17.22","17.1734296342942"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Violence-Related Firearm","2002","406","2705927","15","15.011293863198"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Violence-Related Firearm","2002","3350","34871843","9.61","9.58426010815196"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Violence-Related Firearm","2002","505","4490406","11.25","11.1984719073403"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Violence-Related Firearm","2002","143","3458749","4.13","4.19350965648045"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2017","Violence-Related Firearm","2002","67","806169","8.31","8.19070562595122"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2017","Violence-Related Firearm","2002","189","573158","32.98","28.8786299764306"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2017","Violence-Related Firearm","2002","1852","16689370","11.1","10.7618230355482"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2017","Violence-Related Firearm","2002","1106","8508256","13","13.0675042457517"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2017","Violence-Related Firearm","2002","36","1239613","2.9","2.81624629625895"
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2017","Violence-Related Firearm","2002","154","1340372","11.49","11.7740251985868"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2017","Violence-Related Firearm","2002","1200","12525556","9.58","9.44727652851699"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Violence-Related Firearm","2002","696","6155967","11.31","11.2435490481121"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Violence-Related Firearm","2002","193","2934234","6.58","6.47030438913534"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Violence-Related Firearm","2002","258","2713535","9.51","9.33931670800071"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Violence-Related Firearm","2002","492","4089875","12.03","11.792552460902"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Violence-Related Firearm","2002","823","4497267","18.3","18.1469548286961"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Violence-Related Firearm","2002","88","1295960","6.79","6.62613672447799"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Violence-Related Firearm","2002","606","5440389","11.14","11.3722586357952"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Violence-Related Firearm","2002","197","6417206","3.07","3.02238527356422"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Violence-Related Firearm","2002","1075","10015710","10.73","10.8127973471317"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Violence-Related Firearm","2002","296","5018935","5.9","5.86359589657645"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2017","Violence-Related Firearm","2002","467","2858681","16.34","16.4825746511535"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","2017","Violence-Related Firearm","2002","679","5674825","11.97","11.9080839290166"
"Both Sexes","All Races","Montana","Both","All Ages","1999","2017","Violence-Related Firearm","2002","126","911667","13.82","13.6737079795301"
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","2017","Violence-Related Firearm","2002","133","1728292","7.7","7.66081969776461"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","2017","Violence-Related Firearm","2002","365","2173791","16.79","16.8295251378229"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","2017","Violence-Related Firearm","2002","73","1269089","5.75","5.67695717474756"
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","2017","Violence-Related Firearm","2002","386","8552643","4.51","4.53921423431071"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","2017","Violence-Related Firearm","2002","297","1855309","16.01","16.2151823116939"
"Both Sexes","All Races","New York","Both","All Ages","1999","2017","Violence-Related Firearm","2002","974","19137800","5.09","5.02534087563242"
"Both Sexes","All Races","North Carolina","Both","All Ages","1999","2017","Violence-Related Firearm","2002","1105","8326201","13.27","13.0638706612486"
"Both Sexes","All Races","North Dakota","Both","All Ages","1999","2017","Violence-Related Firearm","2002","56","638168","8.78","8.83621931035067"
"Both Sexes","All Races","Ohio","Both","All Ages","1999","2017","Violence-Related Firearm","2002","1038","11407889","9.1","9.03614645015689"
"Both Sexes","All Races","Oklahoma","Both","All Ages","1999","2017","Violence-Related Firearm","2002","431","3489080","12.35","12.212040902531"
"Both Sexes","All Races","Oregon","Both","All Ages","1999","2017","Violence-Related Firearm","2002","362","3513424","10.3","10.147720472502"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","1999","2017","Violence-Related Firearm","2002","1185","12331031","9.61","9.66414433996622"
"Both Sexes","All Races","Rhode Island","Both","All Ages","1999","2017","Violence-Related Firearm","2002","55","1065995","5.16","5.14344340684246"
"Both Sexes","All Races","South Carolina","Both","All Ages","1999","2017","Violence-Related Firearm","2002","531","4107795","12.93","12.8487834621446"
"Both Sexes","All Races","South Dakota","Both","All Ages","1999","2017","Violence-Related Firearm","2002","55","760020","7.24","7.13745621875001"
"Both Sexes","All Races","Tennessee","Both","All Ages","1999","2017","Violence-Related Firearm","2002","847","5795918","14.61","14.3955710304718"
"Both Sexes","All Races","Texas","Both","All Ages","1999","2017","Violence-Related Firearm","2002","2232","21690325","10.29","10.5047771143991"
"Both Sexes","All Races","Utah","Both","All Ages","1999","2017","Violence-Related Firearm","2002","207","2324815","8.9","9.60323231418516"
"Both Sexes","All Races","Vermont","Both","All Ages","1999","2017","Violence-Related Firearm","2002","58","615442","9.42","9.0920484394477"
"Both Sexes","All Races","Virginia","Both","All Ages","1999","2017","Violence-Related Firearm","2002","783","7286873","10.75","10.700064663562"
"Both Sexes","All Races","Washington","Both","All Ages","1999","2017","Violence-Related Firearm","2002","555","6052349","9.17","9.12112004729767"
"Both Sexes","All Races","West Virginia","Both","All Ages","1999","2017","Violence-Related Firearm","2002","255","1805414","14.12","13.7546243541729"
"Both Sexes","All Races","Wisconsin","Both","All Ages","1999","2017","Violence-Related Firearm","2002","438","5445162","8.04","7.94102906042856"
"Both Sexes","All Races","Wyoming","Both","All Ages","1999","2017","Violence-Related Firearm","2002","90","500017","18","17.8465386490852"
"Both Sexes","All Races","","Both","All Ages","1999","2017","Violence-Related Firearm","2002","29237","287625193","10.16","."
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2017","Violence-Related Firearm","2003","722","4503491","16.03","15.8568530028459"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2017","Violence-Related Firearm","2003","111","648414","17.12","17.8178408435759"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Violence-Related Firearm","2003","822","5510364","14.92","14.7996124857892"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Violence-Related Firearm","2003","390","2724816","14.31","14.1302845691054"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Violence-Related Firearm","2003","3367","35253159","9.55","9.49560426278193"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Violence-Related Firearm","2003","490","4528732","10.82","10.8996981176436"
